Periodo,inpc,inpc-1,inpc-2,inpc-3,inpc-4,inpc-5,inpc-6,inpc-7,inpc-8,inpc-9,inpc-10,inpc-11,inpc-12,suby-1,suby-2,suby-3,suby-4,suby-5,suby-6,suby-7,suby-8,suby-9,suby-10,suby-11,suby-12,ipp,act_enom_global,actividades_primarias,actividad_industrial,vol_fisico_constr,actividades_terciarias,inversion_fija_bruta,desocupacion_urbana,tend_empleo_manuf,asegurados_perms_imss,expectativa_personal_ocupado,imports_totales,imports_n_petroleras,exports_petroleras,exports_n_petroleras,precio_prom_crudo,tasa_interbancaria_eq,cetes_28,tasa_fondeo_gub,tipo_cambio_nominal,tipo_cambio_real_multi,indice_bmv,reservas_internacionales,confianza_empresarial,indicador_agregado_tend,indicador_pedidos_manuf,confianza_consumidor,expectativa_uso_pye,expectativa_inventarios_insumos,indice_prod_ind_eua,prod_manuf_eua,comercio_pmenor_eua,desempleo_eua,tasa_bonos_tesoro_eua,sp500,dow_jones,confianza_consumidor_eua
2005/02,0.0033,0,0.0021,0.0085,0.0069,0.0083,0.0062,0.0026,0.0016,-0.0025,0.0015,0.0034,0.006,0.0037,0.0028,0.0024,0.0029,0.0057,0.0028,0.0017,0.0027,0.0023,0.0033,0.0037,0.0045,0.003080168,-0.051066356,-0.135843678,-0.012348831,-0.05465149,-0.070634415,-0.116879175,4.679868776,6,11383276,50.694,15271.701,14239.296,1985.953,12139.285,31.69,8.97,8.6,8.55,0.004067797,-0.000719502,0.01383931,685653.092,53.387,55.272,52.722,41.71213192,53.64,49.331,0.002506981,0.00126117,263469,5.7,4.22,-0.014843105,-0.027178531,-0.016477858
2005/03,0.0045,0.0033,0,0.0021,0.0085,0.0069,0.0083,0.0062,0.0026,0.0016,-0.0025,0.0015,0.0034,0.0039,0.0037,0.0028,0.0024,0.0029,0.0057,0.0028,0.0017,0.0027,0.0023,0.0033,0.0037,0.003697761,-0.009658492,-0.108243408,-0.012539475,-0.000855445,-0.001176503,-0.026120366,5.155549927,-1,11425741,51.652,15984.672,14808.761,2027.295,13384.371,33.69,9.47,9.15,8.88,-0.009364228,-0.015339106,0.049365795,692600.46,54.173,54.061,51.734,42.01947719,44.34,51.857,0.012106069,0.026665586,265320,5.8,4.17,0.01542225,0.026338776,-0.014659686
2005/04,0.0036,0.0045,0.0033,0,0.0021,0.0085,0.0069,0.0083,0.0062,0.0026,0.0016,-0.0025,0.0015,0.0029,0.0039,0.0037,0.0028,0.0024,0.0029,0.0057,0.0028,0.0017,0.0027,0.0023,0.0033,0.003776012,0.029570029,-0.118496537,0.032959329,0.026343065,0.035885768,0.051659579,4.904315447,1,11462385,51.48,17515.654,16273.234,2477.13,14880.725,38.43,9.78,9.41,9.05,-0.001578447,0.004648481,-0.084806922,689515.101,54.356,56.989,53.576,43.22258466,45.755,48.489,0.005508437,0.008358277,306384,5.4,4.5,-0.003942882,-0.024379363,-0.015940489
2005/05,-0.0025,0.0036,0.0045,0.0033,0,0.0021,0.0085,0.0069,0.0083,0.0062,0.0026,0.0016,-0.0025,0.0019,0.0029,0.0039,0.0037,0.0028,0.0024,0.0029,0.0057,0.0028,0.0017,0.0027,0.0023,0.002214981,0.041441002,0.079641838,0.038010643,0.020198732,0.041909688,0.029455078,4.26701316,1,11486497,52.494,18013.423,16689.792,2429.087,14949.701,39.86,10.01,9.63,9.3,-0.000574888,-0.01074197,-0.031367413,690132.331,54.727,63.628,56.872,42.86217349,57.893,53.139,-0.007899285,0.000126822,302054,4.9,4.34,-0.025341033,-0.029631714,-0.052915767
2005/06,-0.001,-0.0025,0.0036,0.0045,0.0033,0,0.0021,0.0085,0.0069,0.0083,0.0062,0.0026,0.0016,0.0019,0.0019,0.0029,0.0039,0.0037,0.0028,0.0024,0.0029,0.0057,0.0028,0.0017,0.0027,0.000273978,-0.001609035,0.126079659,-0.025680191,-0.058363737,0.008377642,-0.051846465,4.706970674,-3,11546499,50.511,18269.939,17183.1,2582.799,15697.941,40.05,10.12,9.75,9.4,-0.01206162,-0.016109535,0.054698727,672912.472,54.953,59.801,54.979,41.12419878,58.3,53.617,0.003154635,0.00319491,311292,4.9,4.14,0.011729148,0.026976866,-0.009122007
2005/07,0.0039,-0.001,-0.0025,0.0036,0.0045,0.0033,0,0.0021,0.0085,0.0069,0.0083,0.0062,0.0026,0.0024,0.0019,0.0019,0.0029,0.0039,0.0037,0.0028,0.0024,0.0029,0.0057,0.0028,0.0017,-0.000209992,-0.012647229,-0.027031368,-0.007414846,0.002291226,-0.015299738,0.005657498,4.514151476,-8,11565924,49.793,18371.338,17274.977,2708.949,15608.558,44.68,10.01,9.63,9.34,-0.01437409,-0.030925576,0.041243552,660811.629,54.201,55.787,53.324,40.65395042,55.646,49.241,0.034491722,0.026727089,317375,5.2,4,0.020351699,-0.018390585,0.104718067
2005/08,0.0012,0.0039,-0.001,-0.0025,0.0036,0.0045,0.0033,0,0.0021,0.0085,0.0069,0.0083,0.0062,0.0021,0.0024,0.0019,0.0019,0.0029,0.0039,0.0037,0.0028,0.0024,0.0029,0.0057,0.0028,0.006958586,-0.025351501,0.076664534,-0.019846796,0.023650505,-0.034852239,0.021283983,5.287485717,-11,11572691,51.035,17097.93,15837.105,2758.055,13618.526,46.56,10.01,9.61,9.33,-0.013005354,-0.024807117,0.064314555,665624.776,53.592,56.763,52.797,41.05583073,51.394,48.286,-0.037137384,-0.059885083,316887,5.2,4.18,0.016618701,0.035614202,0.005208333
2005/09,0.004,0.0012,0.0039,-0.001,-0.0025,0.0036,0.0045,0.0033,0,0.0021,0.0085,0.0069,0.0083,0.0014,0.0021,0.0024,0.0019,0.0019,0.0029,0.0039,0.0037,0.0028,0.0024,0.0029,0.0057,-5.44E-05,0.031371539,-0.19941742,0.051665439,0.025824798,0.032208567,0.050314951,5.084930199,3,11623923,51.976,20135.931,18811.709,3067.983,16431.387,50.34,9.98,9.6,9.29,-0.002132216,0.010889823,-0.012731588,629242.457,53.986,51.158,49.728,41.12540408,51.013,50.418,0.036649502,0.050163436,321409,4.9,4.26,0.001660885,-0.014970933,-0.076683938
2005/10,0.0025,0.004,0.0012,0.0039,-0.001,-0.0025,0.0036,0.0045,0.0033,0,0.0021,0.0085,0.0069,0.0048,0.0014,0.0021,0.0024,0.0019,0.0019,0.0029,0.0039,0.0037,0.0028,0.0024,0.0029,0.002058752,0.007665159,-0.085643154,0.018863813,0.048475577,0.004490692,-0.007259833,4.665330759,-6,11704822,50.904,18637.505,17277.59,2909.76,15397.635,50.97,9.65,9.21,9.09,0.010196527,0.012097525,0.127256708,657477.735,53.187,58.854,52.568,40.30823587,49.174,50.147,-0.024050499,-0.00250858,300439,4.8,4.2,0.001339574,0.008309408,-0.136924804
2005/11,0.0072,0.0025,0.004,0.0012,0.0039,-0.001,-0.0025,0.0036,0.0045,0.0033,0,0.0021,0.0085,0.0024,0.0048,0.0014,0.0021,0.0024,0.0019,0.0019,0.0029,0.0039,0.0037,0.0028,0.0024,0.004923612,-0.001631254,0.064242663,-0.006086061,-0.044315873,-0.001449697,-0.002580757,4.246385042,2,11776414,51.745,20239.609,18464.055,3144.437,16415.673,48.01,9.41,8.91,8.97,0.004833428,-0.009675261,-0.024747855,678045.722,53.619,54.357,52.293,41.70896378,45.106,51.445,0.001024792,0.010255864,302213,4.6,4.46,-0.027693713,-0.01217094,-0.035110533
2005/12,0.0061,0.0072,0.0025,0.004,0.0012,0.0039,-0.001,-0.0025,0.0036,0.0045,0.0033,0,0.0021,0.0021,0.0024,0.0048,0.0014,0.0021,0.0024,0.0019,0.0019,0.0029,0.0039,0.0037,0.0028,0.003809713,0.016238906,0.438034182,-0.025402106,-0.00733527,0.025253485,0.104400833,3.996302615,-2,11853512,50.115,21680.554,19637.626,2869.27,17354.773,43.76,9.17,8.71,8.67,-0.013008716,-0.035471136,0.060341002,702634.823,54.152,63.449,57.031,41.97155084,65.741,47.522,-0.002380377,-0.008565327,311715,4.8,4.54,0.038096916,0.03503822,0.099730458
2006/01,0.0059,0.0061,0.0072,0.0025,0.004,0.0012,0.0039,-0.001,-0.0025,0.0036,0.0045,0.0033,0,0.0028,0.0021,0.0024,0.0048,0.0014,0.0021,0.0024,0.0019,0.0019,0.0029,0.0039,0.0037,0.004055448,0.01046474,-0.033482547,0.018038849,0.105069344,0.008366529,0.046700582,3.527553947,-12,11684599,49.913,20601.27,18928.578,2927.854,16465.81,45.09,8.72,8.22,8.15,-0.006566701,-0.009064826,0.051278546,708790.097,54.927,55.074,52.76,42.10501353,41.207,52.057,0.005411344,-0.01485457,370726,4.6,4.47,0.019961693,-0.008177838,0.121323529
